Model,accuracy,disparate_impact,statistical_parity_difference,equal_opportunity_difference
Disparate_Impact_Remover,0.261409922,3.096217971,645.4074074,57.86227545
LFR,3.135770235,-6.850693226,-1689.703704,110.3305389
reweighing,0.261409922,-1.294489294,-272.7407407,-0.043113772
GerryFair,-16.97441253,-1.204062829,-349.4814815,100
PrejudiceRemover,-4.443028721,-2.138469638,-461.8518519,-112.0479042
ExponentiatedGradient,-3.915718016,-7.302825553,-1555.407407,-122.1065868
GridSearch,-3.915718016,-4.730694981,-1007.259259,-88.1245509
AdversarialDebiasing,-4.96,-10.52803615,-2292.666667,-168.0502994
RejectOptionClassification,1.047206266,1.810152685,374.0740741,23.88023952
CalibratedEqOdds,-2.871436031,-4.579984205,-1018.222222,-0.043113772
EqualizedOdds,-2.085639687,3.618681994,741.3333333,95.92215569
