Model,accuracy,disparate_impact,statistical_parity_difference,equal_opportunity_difference
Disparate_Impact_Remover,1.900473934,22.19281686,95.75080545,64.26644898
LFR,41.71090047,23.72084321,102.6979013,100
reweighing,2.369668246,6.542869565,30.32669881,21.40571429
GerryFair,6.63507109,2.821386034,11.71117981,21.64979592
PrejudiceRemover,2.369668246,27.1712253,116.457198,99.17012245
ExponentiatedGradient,9.947867299,27.30677602,117.4689109,112.8386939
GridSearch,8.526066351,25.40906588,109.4426546,112.8386939
AdversarialDebiasing,2.838862559,36.25312385,152.1369427,107.1271837
RejectOptionClassification,7.104265403,29.69739789,125.0904821,107.1271837
CalibratedEqOdds,0.478672986,-18.71885639,-129.591401,-31.41355102
EqualizedOdds,-12.31753555,18.1755863,80.9797958,109.1774694
