Model,accuracy,disparate_impact,statistical_parity_difference,equal_opportunity_difference
Disparate_Impact_Remover,-0.032092426,-1.848537127,-220.6239406,-210.5416534
LFR,6.974753958,-3.472125488,-422.5435978,100
reweighing,-0.032092426,1.086023204,129.370132,79.40284952
GerryFair,-0.171159606,-3.441872289,-418.8723313,-395.9160077
PrejudiceRemover,-92.95036371,-100,44.93100257,69.89647237
ExponentiatedGradient,-0.085579803,-0.366130362,-45.62690432,-33.08928003
GridSearch,-0.106974754,1.196951601,141.6076869,123.7659429
AdversarialDebiasing,-0.064184852,2.810455563,330.0660337,258.4396191
RejectOptionClassification,-92.84338896,213653.2837,683.7313728,576.9032534
CalibratedEqOdds,-93.08943089,21.67836752,158.7402639,142.7786972
EqualizedOdds,-0.631151048,0.188511625,21.6796481,100
