Model,accuracy,disparate_impact,statistical_parity_difference,equal_opportunity_difference
Disparate_Impact_Remover,-0.660030001,-0.115112444,1.974013158,3.230000377
LFR,22.63466521,0.312935071,3.186348684,93.73431657
reweighing,-0.500477294,0.815890901,10.28717105,16.45755428
GerryFair,-1.666439384,4.518501903,61.37845395,51.96309371
PrejudiceRemover,-0.598663576,5.963162265,84.23963816,109.0504316
ExponentiatedGradient,-0.488204009,3.170152232,41.80789474,38.73553981
GridSearch,-0.598663576,4.88234229,67.78651316,83.9876979
AdversarialDebiasing,0.812764217,-0.371940953,-7.205098684,-51.76877639
RejectOptionClassification,-8.981317333,-0.468251643,16.69523026,20.63467657
CalibratedEqOdds,-2.046911223,-7.798565333,-128.9582237,-248.7897109
EqualizedOdds,-0.230465021,4.13325914,58.95378289,90.25338133
